@RELATION H11

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
0,13.19,1.86,490,106.94,4.32
2,13.15,1.81,488,109.37,4.34
100,13.14,1.77,486,109.1,4.35
200,13.14,1.77,486,105.26,4.95
300,13.15,1.78,490,107.65,4.31
400,13.14,1.76,488,107.41,4.93
500,13.15,1.78,490,107.89,4.97
600,13.15,1.79,490,107.77,5.2
700,13.16,1.78,494,107.88,4.92
800,13.15,1.78,492,109.33,5.19
900,13.15,1.81,492,106.26,4.34
1000,13.17,1.8,490,108.12,5.2
1100,13.16,1.79,492,106.1,5
1200,13.14,1.77,490,107.88,5.19
1300,13.16,1.79,490,107.24,4.3
1400,13.16,1.79,492,107.41,5.15
1500,13.15,1.78,490,109.39,5.15
1600,13.14,1.78,490,105.13,4.99
1700,13.13,1.77,488,108.31,4.97
1777,13.13,1.78,490,107.24,4.96
1800,13.15,1.79,488,108.15,4.3
1900,13.15,1.78,486,106.58,5.22
1942,13.13,1.76,482,105.76,4.28
2000,13.15,1.73,480,101.3,5.18
2100,13.15,1.79,486,106.3,5.23
2175,13.15,1.79,484,111.01,4.33
2200,13.13,1.76,482,103.69,4.95
2300,13.14,1.71,480,105.96,5.2
2400,13.17,1.72,480,103.71,5
2500,13.16,1.71,480,102.04,4.93
2600,13.16,1.74,482,106.54,4.96
2700,13.17,1.76,484,105.87,5
2800,13.11,1.74,482,105.52,5.18
2900,13.14,1.73,482,104.48,5.2
3000,13.11,1.72,482,104.49,5.21
3100,13.12,1.73,478,103.27,4.95
3200,13.12,1.73,482,103.22,5.18
3300,13.11,1.72,482,102.22,5.2
3400,13.15,1.72,482,103.21,5.01
3500,13.15,1.75,482,103.88,5.16
3600,13.14,1.74,482,101.96,4.92
3700,13.14,1.75,482,105.31,5.21
3800,13.15,1.73,482,102.16,5
3900,13.13,1.76,478,105.72,4.95
4000,13.13,1.71,478,105.76,4.91
4100,13.16,1.73,482,103.7,5.22
4200,13.11,1.72,478,104.95,4.88
4300,13.15,1.73,480,104.31,5.15
4400,13.1,1.69,480,107.63,4.28
4500,13.15,1.7,478,107,4.92
4600,13.15,1.71,478,106.76,5.21
4700,13.15,1.7,478,107.43,4.33
4800,13.13,1.71,478,107.31,4.95
4900,13.12,1.71,478,107.16,5.16
5000,13.15,1.7,476,107.55,4.29
5100,13.12,1.72,482,103.72,5.17
5200,13.13,1.7,478,108.15,4.94
5300,13.15,1.73,480,104.14,5.18
5400,13.12,1.7,478,107.1,5.22
5500,13.15,1.69,478,107.3,5.16
5600,13.16,1.69,476,107.22,5.21
5700,13.14,1.69,478,107.03,5.22
5800,13.16,1.7,478,108.08,4.32
5900,13.15,1.69,476,107.39,4.93
6000,13.16,1.69,478,107.29,4.28
6100,13.15,1.69,478,107.26,5
6200,13.15,1.69,478,106.85,5.18
6300,13.14,1.69,476,107.46,4.28
6400,13.17,1.69,476,107,4.97
6500,13.16,1.7,478,107.43,5.2
6532,13.16,1.78,482,101.04,4.29
6600,13.14,1.7,478,106.81,4.31
