@RELATION H10

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
0,13.14,1.74,452,111.8,6.11
2,13.15,1.72,454,112.44,5.86
100,13.15,1.62,450,115.01,6.71
200,13.12,1.62,450,113.34,7.03
300,13.15,1.64,450,114.22,7.01
400,13.13,1.63,452,114.39,7.02
500,13.15,1.63,450,113.18,6.74
600,13.13,1.65,450,114.11,7.02
700,13.14,1.62,450,112.93,6.81
800,13.16,1.62,450,112.15,7.05
900,13.12,1.61,450,112.01,7.07
1000,13.13,1.62,450,112.47,7.03
1100,13.14,1.61,450,111.44,6.98
1200,13.13,1.62,450,112.72,6.67
1300,13.13,1.59,448,109.17,6.96
1400,13.12,1.6,450,111.58,6.99
1500,13.14,1.59,450,109.89,6.95
1600,13.12,1.59,448,110.02,6.95
1700,13.12,1.58,448,109.29,6.74
1777,13.13,1.61,448,112.99,6.75
1800,13.14,1.59,448,109.37,7.05
1900,13.12,1.57,448,108.51,6.77
1942,13.13,1.64,450,113.12,6.78
2000,13.13,1.6,448,111.97,7.03
2100,13.13,1.61,450,112.33,7
2175,13.15,1.67,450,111.09,6.09
2200,13.15,1.63,450,110.49,6.79
2300,13.1,1.62,450,112.68,6.99
2400,13.13,1.61,450,114.03,7.03
2500,13.1,1.6,448,113.76,7
2600,13.12,1.6,450,113.98,7.03
2700,13.12,1.59,450,113.27,6.84
2800,13.13,1.61,450,114,6.97
2900,13.1,1.59,450,113.47,7.01
3000,13.13,1.6,448,112.88,6.98
3100,13.11,1.6,448,111.6,7.01
3200,13.11,1.58,450,112.73,6.75
3300,13.14,1.6,450,111.99,6.99
3400,13.12,1.6,448,112.82,6.98
3500,13.12,1.6,448,111.23,6.97
3600,13.14,1.59,448,109.26,7.02
3700,13.11,1.59,448,109.76,6.66
3800,13.16,1.58,448,109.6,6.92
3900,13.14,1.58,448,108.63,6.97
4000,13.14,1.59,448,108.2,7.02
4100,13.13,1.58,448,109.73,6.99
4200,13.12,1.58,448,107.5,6.95
4300,13.1,1.59,446,108.5,7
4400,13.1,1.59,448,109.08,6.97
4500,13.13,1.59,446,108.15,6.99
4600,13.13,1.59,448,107.96,7
4700,13.13,1.59,446,107.63,7.01
4800,13.14,1.57,446,105.59,6.68
4900,13.14,1.59,446,107.77,6.98
5000,13.13,1.61,446,108.42,7.01
5100,13.15,1.6,446,107.44,7
5200,13.13,1.59,448,107.82,6.71
5300,13.13,1.59,446,107.64,6.98
5400,13.13,1.59,448,107.02,6.95
5500,13.14,1.58,446,106.57,7.01
5600,13.13,1.57,446,104.59,7.03
5700,13.14,1.57,446,103.54,6.95
5800,13.11,1.58,446,105.93,7
5900,13.12,1.56,446,101.75,6.65
6000,13.14,1.57,446,101.89,6.96
6100,13.15,1.55,444,104.3,6.95
6200,13.15,1.59,446,106.45,6.67
6300,13.12,1.59,446,104.73,7.04
6400,13.15,1.56,444,104.06,7.01
6500,13.14,1.57,444,103.75,6.91
6532,13.15,1.63,448,107.63,6.95
6600,13.16,1.6,446,105.33,6.77
6700,13.13,1.59,444,104.36,6.98
6800,13.15,1.53,434,103.5,6.7
6900,13.13,1.5,432,105.44,7.01
7000,13.16,1.57,446,102.02,7.06
7100,13.15,1.51,432,105.47,7.04
7200,13.13,1.51,434,105.62,6.99
7300,13.13,1.52,434,104.5,6.72
7400,13.14,1.52,434,105.41,6.72
7500,13.14,1.51,432,104.9,6.93
7600,13.14,1.5,432,104.61,6.98
7700,13.09,1.5,432,105.46,7
7800,13.1,1.5,434,104.9,7.02
7900,13.11,1.5,434,106.13,6.99
