@RELATION H9

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
0,13.11,1.86,404,113.56,3.38
2,13.13,1.84,404,114.01,3.4
100,13.12,1.78,400,111.81,3.49
200,13.09,1.75,400,110.12,3.35
300,13.1,1.76,400,109.58,3.43
400,13.11,1.8,398,110.18,3.45
500,13.09,1.77,400,109.67,3.39
600,13.11,1.77,400,107.39,3.42
700,13.1,1.77,398,107.82,3.45
800,13.08,1.76,400,109.64,3.37
900,13.12,1.74,400,107.48,3.37
1000,13.08,1.75,400,108.29,3.95
1100,13.06,1.76,398,108.89,3.42
1200,13.12,1.74,398,106.47,3.47
1300,13.1,1.75,398,108.07,3.35
1400,13.07,1.74,398,108.24,3.16
1500,13.08,1.74,398,107.75,3.15
1600,13.09,1.73,396,107.8,3.41
1700,13.11,1.72,396,107.48,3.39
1777,13.08,1.78,400,108.56,3.34
1800,13.07,1.74,400,107.09,3.42
1900,13.07,1.73,396,107.26,3.37
1942,13.08,1.79,398,111.76,3.44
2000,13.08,1.78,398,107.55,3.4
2100,13.09,1.74,398,108.1,3.34
2175,13.07,1.79,402,113.69,3.18
2200,13.1,1.78,400,113.29,3.38
2300,13.11,1.72,396,109.31,3.06
2400,13.1,1.74,398,108.5,3.41
2500,13.09,1.71,396,107.62,3.4
2600,13.09,1.71,396,107.35,3.37
2700,13.07,1.71,396,108.9,3.49
2800,13.08,1.7,396,108.36,3.16
2900,13.07,1.69,396,106.7,3.4
3000,13.09,1.69,398,107.37,3.15
3100,13.07,1.69,396,105.66,3.37
3200,13.09,1.71,396,107.75,3.4
3300,13.08,1.69,396,105.87,3.34
3400,13.09,1.69,394,106.51,3.36
3500,13.07,1.7,396,105.38,3.37
3600,13.07,1.68,394,105.08,3.44
3700,13.12,1.68,396,106.28,3.37
3800,13.06,1.69,396,104.42,3.35
3900,13.08,1.67,394,104.85,3.37
4000,13.09,1.68,394,105.52,3.4
4100,13.07,1.67,394,107.33,3.42
4200,13.09,1.75,396,107.16,3.14
4300,13.1,1.68,394,106.21,3.42
4400,13.06,1.7,396,104.99,3.11
4500,13.08,1.7,394,105.39,3.38
4600,13.08,1.69,394,106.42,3.1
4700,13.08,1.69,394,106.85,3.38
4800,13.08,1.72,394,105.38,3.42
4900,13.11,1.69,394,107.2,3.38
5000,13.08,1.69,394,107.03,3.17
5100,13.12,1.69,394,106.56,3.12
5200,13.06,1.69,394,106.01,3.38
5300,13.11,1.68,392,106.12,3.35
5400,13.08,1.68,392,107.26,3.4
5500,13.1,1.67,392,106.55,3.44
5600,13.08,1.67,392,106.47,3.32
5700,13.1,1.66,392,105.98,3.4
5800,13.12,1.68,394,106.37,3.37
5900,13.12,1.69,392,105.82,3.38
6000,13.12,1.69,394,106.02,3.37
6100,13.08,1.68,394,107.45,3.38
6200,13.09,1.74,400,107.53,3.35
6300,13.09,1.68,394,106.31,3.31
6400,13.08,1.7,392,106.3,3.37
6500,13.1,1.69,392,106.83,3.12
6532,13.1,1.74,394,106.65,3.42
6600,13.11,1.69,394,105.72,3.41
6700,13.07,1.68,394,106.97,3.45
6800,13.09,1.68,394,106.66,3.37
6900,13.12,1.66,394,106.26,3.39
7000,13.11,1.66,392,106.64,3.36
7100,13.1,1.66,394,107.37,3.39
7200,13.08,1.69,394,106.57,3.45
7300,13.09,1.68,394,106.66,3.14
7400,13.08,1.67,394,106.47,3.39
7500,13.06,1.67,392,106.73,3.41
7600,13.11,1.65,392,107.86,3.33
7700,13.07,1.63,392,108.45,3.04
7800,13.04,1.63,392,107.95,3.39
7900,13.07,1.7,394,107.16,3.38
8000,13.05,1.64,394,106.61,3.36
8100,13.05,1.62,392,108.31,3.07
8200,13.03,1.61,392,108.81,3.33
8300,13.04,1.63,394,107.62,3.31
8400,13.06,1.6,390,107.73,0.69
8500,13.06,1.61,392,108.86,3.35
8600,13.03,1.59,392,108.46,3.3
8700,13.06,1.61,392,108.77,3.35
8800,13.06,1.68,392,109.79,3.08
8900,13.04,1.62,392,109.53,3.39
9000,13.04,1.59,392,109.04,3.34
9100,13.06,1.6,392,108.08,3.36
9200,13.06,1.59,392,108.67,3.32
9300,13.05,1.59,392,108.6,3.31
9400,13.04,1.59,392,109.56,3.34
9500,13.02,1.59,392,108.87,3.37
9600,13.02,1.59,392,108.8,3.33
9700,13.04,1.59,390,109.27,3.11
9800,13.06,1.59,390,108.61,3.34
9900,13.06,1.58,390,109.37,3.31
10000,13.04,1.6,392,110.22,3.13
10100,13.04,1.59,392,108.63,3.38
10200,13.03,1.6,390,108.89,3.08
10300,13.07,1.58,390,108.59,3.32
10400,13.02,1.66,392,108.43,3.1
10500,13.04,1.57,390,108.21,3.32
