@RELATION H6

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
0,13.12,1.81,344,103.45,5.2
2,13.12,1.79,342,105.31,4.99
100,13.14,1.62,332,100.75,5.8
200,13.12,1.61,332,103.79,6.11
300,13.1,1.61,330,105.15,6.1
400,13.14,1.61,330,103.15,6.07
500,13.11,1.6,328,102.71,6.13
600,13.11,1.61,330,101.64,6.14
700,13.11,1.6,328,102.02,6.11
800,13.1,1.61,328,102.27,6.11
900,13.14,1.6,328,101.12,6.1
1000,13.12,1.6,328,99.95,6.14
1100,13.12,1.61,330,101.13,6.11
1200,13.13,1.63,330,100.89,6.12
1300,13.11,1.6,330,101.32,6.11
1400,13.12,1.61,328,99.31,6.13
1500,13.12,1.58,328,99.64,5.86
1600,13.12,1.58,328,100.06,6.13
1700,13.12,1.6,330,100.39,5.85
1777,13.11,1.65,330,103.66,6.09
1800,13.07,1.61,330,101.21,6.08
1900,13.11,1.59,330,100.69,5.83
1942,13.13,1.08,276,73.12,5.28
2000,13.18,0.1,0,53.45,0
2100,13.21,0.1,0,51.88,0
2175,13.13,1.83,348,108.48,5.01
2200,13.12,1.69,338,101.02,5.21
2300,13.11,1.68,334,103.67,6.09
2400,13.11,1.64,332,101.63,6.09
2500,13.11,1.65,332,103.38,6.08
2600,13.12,1.63,332,104.51,5.19
2700,13.1,1.64,332,104.87,5.17
2800,13.09,1.63,330,105.15,5.23
2900,13.09,1.64,332,104.38,6.06
3000,13.07,1.65,332,103.9,6.07
3100,13.1,1.64,332,104.78,6.08
3200,13.09,1.64,332,104.01,6.1
3300,13.09,1.63,332,103.87,6.18
3400,13.11,1.62,332,103.53,6.09
3500,13.1,1.64,332,104.21,6.08
3600,13.09,1.64,330,104.97,6.16
3700,13.11,1.64,330,103.58,5.19
3800,13.1,1.63,330,103.54,6.09
3900,13.11,1.62,332,104.44,6.11
4000,13.12,1.63,330,103.7,6.07
4100,13.11,1.61,330,103.45,5.87
4200,13.09,1.62,330,103.77,6.13
4300,13.12,1.64,330,102.7,6.06
4400,13.11,1.62,330,102.76,6.1
4500,13.13,1.64,332,103.19,6.05
4600,13.11,1.65,332,104.38,6.1
