@RELATION H4

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
14100,13.13,1.67,362,105.07,7.06
14200,13.12,1.68,360,104.68,6.13
14300,13.09,1.67,360,105.34,6.08
14400,13.14,1.66,360,104.81,6.06
14500,13.11,1.67,360,104.49,6.97
14600,13.11,1.68,360,104.73,6.1
14700,13.13,1.67,360,105.89,6.71
14800,13.13,1.65,358,104.76,6.16
14900,13.09,1.68,360,105.91,6.17
15000,13.09,1.68,362,104.47,6.06
15100,13.11,1.68,360,105.14,6.1
15200,13.1,1.66,360,104.92,6.11
15300,13.1,1.66,360,105.28,6.12
15400,13.12,1.67,360,105.18,6.14
15500,13.12,1.67,360,104.55,6.13
15600,13.13,1.68,360,105.19,6.13
15700,13.1,1.67,360,104.59,6.12
15800,13.14,1.65,360,105.55,6.07
15900,13.12,1.68,362,104.51,6.11
16000,13.1,1.67,360,104.57,6.14
16100,13.1,1.68,360,105.91,6.79
16200,13.12,1.68,360,104.58,6.17
16300,13.13,1.67,360,105.2,6.78
16400,13.12,1.68,360,104.87,6.11
16500,13.12,1.66,358,106.07,6.14
16600,13.12,1.67,358,104.89,6.07
16700,13.11,1.67,358,105.12,6.09
16800,13.11,1.68,360,104.6,6.77
16900,13.12,1.69,362,104.69,6.07
17000,13.11,1.68,360,104.87,6.1
17100,13.1,1.67,360,104.79,6.12
17200,13.1,1.66,360,104.02,6.03
17300,13.08,1.67,360,104.93,6.82
17400,13.1,1.68,360,104.83,6.08
17500,13.14,1.67,360,104.44,6.09
17600,13.08,1.67,360,104.39,6.13
17700,13.07,1.66,358,104.67,6.14
17800,13.11,1.68,362,105.12,6.06
17900,13.07,1.68,360,106.16,6.03
18000,13.12,1.67,360,104.89,6.11
18100,13.11,1.67,360,104.04,6.06
18200,13.1,1.67,360,104.53,6.11
18300,13.12,1.68,362,105.14,6.18
18400,13.13,1.68,360,104.36,6.05
18500,13.12,1.68,362,104.93,6.07
18600,13.11,1.69,362,106.6,6.12
18700,13.14,1.67,360,104.5,6.12
18800,13.12,1.68,362,105.72,6.09
18900,13.1,1.68,362,104.96,6.12
19000,13.12,1.68,360,104.69,6.07
19100,13.13,1.69,362,106.37,6.11
19200,13.08,1.68,362,106.53,6.13
19300,13.1,1.69,362,105.78,6.12
19400,13.12,1.72,362,105.44,6.08
19500,13.11,1.7,362,105.53,6.05
19600,13.12,1.7,360,105.43,6.08
19700,13.12,1.69,360,104.53,6.11
19800,13.11,1.69,362,104.99,6.05
19900,13.1,1.69,360,106.06,6.06
20000,13.13,1.68,362,105.46,6.07
20100,13.07,1.67,360,105.38,6.04
20200,13.09,1.68,362,105.58,6.07
20300,13.11,1.67,362,105.22,6.75
20400,13.09,1.7,362,105.09,6.04
20500,13.1,1.68,362,105.68,6.11
20600,13.11,1.69,362,105.02,6.15
20700,13.12,1.68,362,105.43,6.12
20800,13.11,1.68,360,105.9,6.09
20900,13.09,1.68,360,105.7,6.02
21000,13.1,1.7,362,105.66,6.02
21100,13.11,1.68,362,105.65,6.1
21200,13.12,1.68,362,105.68,6.03
21300,13.12,1.68,360,104.05,6.09
21400,13.09,1.67,360,104.6,6.12
21500,13.09,1.68,360,104.22,6.08
21600,13.11,1.67,360,104,6.1
21700,13.09,1.69,362,105.35,6.1
21800,13.11,1.68,360,104.73,6.14
21900,13.12,1.69,360,105.16,6.1
22000,13.1,1.66,362,104.76,6.09
22100,13.1,1.69,362,106,6.14
22200,13.11,1.68,362,105.41,6.19
22300,13.11,1.68,360,106.19,6.08
22400,13.1,1.68,360,104.79,6.67
22500,13.08,1.68,360,105.3,6.04
22600,13.09,1.69,360,104.81,6.07
22700,13.12,1.69,362,105.91,6.07
22800,13.1,1.69,362,106.57,6.06
22900,13.12,1.7,364,106.1,6.1
23000,13.11,1.68,362,104.9,6.07
23100,13.1,1.67,362,104.41,6.07
23143,13.11,1.65,360,104.76,6.1
23200,13.12,1.66,360,105.63,6.13
23300,13.11,1.7,362,105.76,6.05
23400,13.09,1.68,360,105.77,6.15
23500,13.11,1.69,362,106.57,6.04
23600,13.08,1.68,362,105.62,5.82
23700,13.11,1.68,362,104.97,6.02
23800,13.1,1.67,360,106.16,6.71
23900,13.08,1.67,360,105.4,5.86
24000,13.09,1.68,360,106.22,5.83
24100,13.13,1.68,362,105.92,6.03
24200,13.1,1.68,360,106.88,6.12
24300,13.11,1.69,362,106.67,6.16
24400,13.08,1.67,362,104.81,6.11
24500,13.11,1.68,362,105.61,6.1
24600,13.08,1.69,362,106.39,6.09
24700,13.13,1.68,362,106.05,6.05
24800,13.09,1.68,362,106.74,6.25
24900,13.13,1.68,360,107.26,6.1
25000,13.12,1.69,362,105.72,6.05
25100,13.1,1.69,360,105.28,5.87
25200,13.07,1.69,362,106.3,6.13
25300,13.1,1.68,362,105.36,6.12
25400,13.11,1.7,362,105.84,6.06
25500,13.1,1.68,362,105.56,6.07
25600,13.12,1.7,364,106.31,6.04
25700,13.1,1.68,360,106.75,6.01
25800,13.08,1.7,362,106.31,6.08
25900,13.1,1.7,362,105.19,6.07
26000,13.11,1.71,364,106.01,6.07
26100,13.11,1.68,360,105.47,6.11
26200,13.09,1.68,360,105.95,6.09
26300,13.11,1.68,362,106.4,6.09
26400,13.11,1.68,360,104.67,6.21
26500,13.07,1.67,360,105.14,6.19
26600,13.12,1.66,360,104.88,6.08
26700,13.07,1.67,360,104.82,6.06
26800,13.09,1.68,360,105.5,5.79
26900,13.1,1.66,360,105.27,6.04
27000,13.1,1.7,364,105.23,6.14
27100,13.11,1.68,360,106.42,6.05
