TESTING PARAMETERS,POWER SUPPLY VOLTAGE,CURRENT,FREQUENCY,NOISE LEVEL,OPERATING VOLTAGE RANGE
14400,13.12,1.73,348,101.79,7.83
14500,13.12,1.74,350,102.1,7.86
14600,13.1,1.74,350,101.91,6.93
14700,13.12,1.7,346,103.71,7.95
14800,13.12,1.71,348,103.27,7.94
14900,13.12,1.71,348,104.58,7.03
15000,13.09,1.72,350,102.06,7.88
15100,13.12,1.71,348,103.6,7.84
15200,13.09,1.72,348,103.58,7.61
15300,13.09,1.74,350,101.82,6.96
15400,13.09,1.74,350,102.03,7.02
15500,13.11,1.68,346,101.18,7.94
15600,13.11,1.71,346,104.55,7.9
15700,13.12,1.71,348,103.84,7.93
15800,13.09,1.73,348,102.62,6.99
15900,13.12,1.73,348,103.01,7.87
16000,13.12,1.75,350,101.97,7.9
16100,13.1,1.75,350,102.63,6.95
16200,13.1,1.74,350,101.45,6.98
16300,13.09,1.72,350,102.2,7.02
16400,13.09,1.72,348,103.53,7.78
16500,13.1,1.75,348,102.21,6.95
16600,13.11,1.74,348,101.42,7.83
16700,13.11,1.74,348,102.18,6.91
16800,13.1,1.74,348,99.78,7.01
16900,13.11,1.76,350,103.04,6.99
17000,13.1,1.71,346,103.58,7.92
17100,13.11,1.7,346,103.19,6.95
17200,13.08,1.73,350,101.56,7.01
17300,13.09,1.72,348,102.62,7.87
17400,13.11,1.69,346,103.92,7.93
17500,13.08,1.69,346,103.19,7
17600,13.09,1.71,348,102.77,7.95
17700,13.09,1.71,348,103.01,7.89
17800,13.12,1.71,348,103.38,7.92
17900,13.09,1.71,348,102.82,7.87
18000,13.08,1.72,348,101.23,6.95
18100,13.11,1.69,346,102.88,7.9
18200,13.11,1.71,348,103.88,7.02
18300,13.11,1.68,346,101.92,7.89
18400,13.1,1.7,346,103.09,7.82
18500,13.09,1.71,348,102.87,7.91
18600,13.1,1.66,344,101.74,7.93
18700,13.13,1.7,348,103.37,7.85
18800,13.06,1.69,346,105,7.91
18900,13.11,1.69,348,103.56,7.92
19000,13.1,1.74,352,106.36,7.07
19100,13.12,1.7,348,101.75,7.83
19200,13.09,1.71,346,102.5,7.91
19300,13.13,1.69,346,103.11,7.88
19400,13.1,1.68,346,104.46,7.91
19500,13.08,1.71,348,102.65,7.87
19600,13.12,1.72,348,103.54,6.98
19700,13.12,1.69,346,102.52,7.89
19800,13.09,1.66,344,102.01,7.88
19900,13.1,1.7,348,104.03,7.9
20000,13.1,1.62,344,102.15,7.96
20100,13.1,1.67,346,103.1,7.91
20200,13.08,1.66,344,101.91,6.93
20300,13.08,1.72,348,101.46,7.87
20400,13.11,1.66,344,102.85,7.87
20500,13.11,1.65,344,102.88,7.64
20600,13.1,1.7,346,102.74,7.01
20700,13.1,1.65,344,103.03,7.96
20800,13.1,1.66,346,102.18,7.64
20900,13.09,1.64,344,102.32,6.93
21000,13.09,1.71,348,102.34,7.86
21100,13.11,1.71,346,102.89,7.94
21200,13.13,1.73,350,101.47,7.59
21300,13.1,1.71,348,102.97,6.96
21400,13.09,1.7,346,102.6,7.9
21500,13.12,1.69,346,101.57,7
21600,13.08,1.67,346,101.91,7.85
21700,13.13,1.7,346,103.74,6.96
21800,13.11,1.66,342,102.55,7.7
21900,13.12,1.59,340,104.17,7.03
22000,13.11,1.66,344,103.3,7.88
22100,13.08,1.65,346,102.29,7.9
22200,13.07,1.69,346,103.32,7.63
22300,13.09,1.7,346,102.26,7.87
22400,13.09,1.72,348,102.19,7.01
22500,13.11,1.66,346,102.54,7.89
22600,13.09,1.66,344,101.91,7.87
22700,13.1,1.63,342,103.04,6.94
22800,13.06,1.67,346,102.23,7.85
22900,13.11,1.65,344,102.32,7.9
23000,13.09,1.69,348,103.67,7.88
23100,13.1,1.66,342,103.76,6.95
23143,13.1,1.67,346,106.84,6.85
23200,13.07,1.68,344,104.76,7.83
23300,13.1,1.66,344,103,8.78
23400,13.1,1.69,346,102.34,7.85
23500,13.13,1.65,344,103.49,7.91
23600,13.09,1.66,346,103.37,7.85
23700,13.12,1.68,346,102.7,7.84
23800,13.1,1.74,348,107.28,6.95
23900,13.09,1.67,346,103.13,7.91
24000,13.08,1.71,346,102.24,7.66
24100,13.09,1.67,344,103.99,7.88
24200,13.08,1.7,346,102.56,6.93
24300,13.08,1.71,348,101.12,7.78
24400,13.07,1.67,346,103.54,7.87
24500,13.08,1.67,346,102.93,6.97
24600,13.09,1.65,344,103.12,7.9
24700,13.08,1.59,344,104.96,8.46
24800,13.09,1.69,346,103.65,7.87
24900,13.08,1.68,346,102.86,7.82
25000,13.11,1.67,344,102.18,7.04
25100,13.1,1.7,346,102.11,7.87
25200,13.09,1.61,342,102.45,7.86
25300,13.11,1.66,342,103.31,7.87
25400,13.08,1.65,342,103.23,7.92
25500,13.1,1.66,344,103.41,7.87
25600,13.09,1.67,346,103.16,7.84
25700,13.09,1.68,346,103.34,7.83
25800,13.08,1.68,346,103.09,7.86
25900,13.1,1.66,342,104,7.87
26000,13.08,1.7,344,103.39,7.9
26100,13.09,1.69,344,103.63,8.74
26200,13.13,1.72,350,103.51,6.89
26300,13.1,1.71,344,103.28,7.85
26400,13.1,1.69,344,103.25,7.87
26500,13.1,1.69,344,103.92,7.87
26600,13.1,1.71,346,103.46,7.05
26700,13.09,1.65,342,103.27,7.83
26800,13.09,1.7,346,102.97,7.82
26900,13.09,1.68,346,103.18,7.91
27000,13.1,1.68,344,102.25,7.87
27100,13.09,1.7,346,103.56,7.57
27200,13.11,1.71,346,103.78,6.99
27300,13.07,1.61,342,104.47,7.9
27400,13.09,1.72,346,104.48,7.88
27500,13.1,1.7,346,103.1,7.9
27600,13.07,1.69,346,101.5,6.94
27700,13.1,1.65,342,102.82,7.88
27800,13.1,1.69,344,101.13,7.85
27900,13.11,1.68,346,103.36,6.96
28000,13.08,1.7,348,101.77,6.9
28100,13.09,1.69,346,101.25,7.91
28200,13.1,1.69,344,102.17,7.83
28300,13.09,1.64,342,102.81,7.86
28400,13.11,1.73,348,104.11,7.93
28500,13.1,1.7,344,102.34,7.85
28600,13.09,1.7,344,102.23,8.8
28700,13.1,1.69,346,102.57,7.85
28800,13.09,1.7,346,103.02,7.86
28900,13.09,1.62,340,104.77,7.88
29000,13.08,1.72,346,103.65,7.82
29100,13.06,1.71,346,103.21,8.73
29200,13.1,1.66,342,102.93,7.87
29300,13.1,1.71,346,103.3,7.72
29400,13.1,1.75,348,105.58,9.67
29500,13.08,1.68,346,103.4,7.09
29600,13.09,1.68,348,103.61,7.85
29700,13.08,1.67,344,103.35,6.93
29800,13.07,1.71,346,102.35,7.95
29900,13.09,1.7,346,102.29,8.77
30000,13.1,1.67,346,102.63,7.84
30100,13.1,1.69,346,102.08,7.9
30200,13.08,1.69,346,104.18,7.89
30300,13.07,1.66,344,103.4,7.89
30400,13.11,1.71,350,102.64,6.96
30500,13.1,1.65,344,103.99,7.82
30600,13.09,1.62,342,102.17,6.89
30700,13.11,1.69,346,103.25,7.87
30800,13.09,1.68,348,103.17,7.03
30900,13.06,1.69,348,103.42,7.66
31000,13.12,1.67,346,103.74,7.95
31100,13.07,1.65,344,103.27,7.53
31200,13.11,1.62,342,102.23,7.86
31300,13.09,1.66,344,103.16,7.82
31400,13.1,1.69,348,104.09,6.92
31500,13.07,1.71,342,102.66,7
31600,13.1,1.67,344,103.02,6.96
31700,13.09,1.68,346,103.94,7.88
31800,13.08,1.58,342,103.29,8.81
31900,13.09,1.65,342,102.83,7.93
32000,13.1,1.65,342,103.15,7.93
32100,13.11,1.59,342,104.46,7.99
32200,13.1,1.64,344,103.62,7.01
32300,13.09,1.59,342,103.81,7.57
32400,13.11,1.67,344,102.92,7.87
32500,13.08,1.67,344,103.57,6.99
