TESTING PARAMETERS,POWER SUPPLY VOLTAGE,CURRENT,FREQUENCY,NOISE LEVEL,OPERATING VOLTAGE RANGE
0,13.14,1.51,358,103.16,6.06
2,13.14,1.5,356,102.29,6.1
100,13.12,1.46,354,102.84,6.98
200,13.12,1.44,354,103.86,7
300,13.12,1.43,354,103.81,6.75
400,13.12,1.45,352,104.55,7
500,13.14,1.45,354,104.85,6.94
600,13.13,1.45,354,105.43,7.05
700,13.12,1.45,352,103.2,7.01
800,13.12,1.45,352,103.85,7.09
900,13.13,1.45,354,104.88,7.01
1000,13.14,1.46,354,105.18,7.05
1100,13.13,1.45,352,103.03,6.99
1200,13.11,1.45,354,102.95,6.97
1300,13.13,1.44,352,103.17,7.03
1400,13.13,1.44,354,104.86,6.98
1500,13.11,1.45,352,104.32,6.98
1600,13.12,1.44,354,104.34,6.95
1700,13.11,1.45,354,104.61,7.65
1777,13.15,1.45,354,104.38,6.98
1800,13.1,1.45,354,103.93,7.04
1900,13.13,1.45,354,104.49,6.98
1942,13.12,1.47,358,103.35,6.91
2000,13.12,1.45,352,103.79,7.02
2100,13.15,1.45,354,104.8,6.98
2175,13.12,1.5,358,105.56,6.79
2200,13.16,1.5,354,106.21,7
2300,13.11,1.45,352,103.31,6.99
2400,13.12,1.43,354,104,7
2500,13.11,1.44,352,105.43,6.99
2600,13.11,1.45,354,105.54,6.96
2700,13.11,1.45,354,104.89,7.08
2800,13.13,1.46,354,105.35,6.97
2900,13.13,1.44,352,104.86,6.94
3000,13.1,1.44,354,103.68,7
3100,13.11,1.44,352,103.79,6.9
3200,13.1,1.45,354,104.41,6.97
3300,13.12,1.44,352,104.03,6.94
3400,13.14,1.44,354,102.8,6.99
3500,13.12,1.45,354,102.88,6.99
3600,13.13,1.44,354,103.74,6.91
3700,13.1,1.45,354,102.88,6.93
3800,13.1,1.44,354,103.69,7.03
3900,13.1,1.45,352,103.43,6.75
4000,13.12,1.44,352,103.58,7.02
4100,13.09,1.45,354,103.28,7.62
4200,13.14,1.45,352,103.46,6.99
4300,13.1,1.45,354,103.21,7.03
4400,13.08,1.45,354,103.08,6.96
4500,13.11,1.45,352,103.1,6.94
4600,13.14,1.46,352,103.86,6.98
4700,13.14,1.45,354,103.6,6.98
4800,13.14,1.45,354,103.78,6.97
4900,13.12,1.47,352,104.13,6.96
5000,13.12,1.45,354,104.35,7.03
5100,13.13,1.46,354,103.92,7.6
5200,13.14,1.46,352,104.25,7.02
5300,13.14,1.47,354,102.82,6.98
5400,13.13,1.46,352,103.02,6.97
5500,13.15,1.45,354,104.02,7.09
5600,13.11,1.45,354,103.6,6.99
5700,13.12,1.45,354,102.32,6.98
5800,13.12,1.45,354,103.52,6.94
5900,13.1,1.46,352,104.05,6.95
6000,13.11,1.46,352,104.41,6.76
6100,13.12,1.47,352,104.48,6.95
6200,13.12,1.45,352,104.09,6.95
6300,13.11,1.45,354,103.83,6.95
6400,13.11,1.46,352,103.49,6.95
6500,13.14,1.45,354,103.19,7
6532,13.13,1.51,356,103.36,6.15
6600,13.13,1.46,352,102.17,6.98
6700,13.1,1.46,352,103.9,6.98
6800,13.12,1.46,352,103.41,6.96
6900,13.12,1.46,352,104.07,6.98
7000,13.13,1.46,354,102.8,7.07
7100,13.11,1.45,352,103.23,7.05
7200,13.13,1.45,352,103.08,6.95
7300,13.1,1.47,352,103.85,6.73
7400,13.11,1.46,354,103.81,7
7500,13.1,1.46,354,102.99,7
7600,13.1,1.44,352,103.64,6.95
7700,13.09,1.42,352,101.65,7.08
7800,13.1,1.43,352,102.53,6.99
7900,13.1,1.43,352,102.58,6.99
8000,13.08,1.41,352,101.86,6.93
8100,13.09,1.44,352,103.5,6.95
8200,13.08,1.42,352,102.08,6.93
8300,13.1,1.42,352,102.82,6.94
8400,13.08,1.44,354,102.21,6.92
8500,13.07,1.44,352,102.88,6.95
8600,13.06,1.44,352,103.62,6.94
8700,13.07,1.43,352,102.76,7.04
8800,13.09,1.43,354,103.23,6.98
8900,13.1,1.43,352,103.88,6.93
9000,13.06,1.42,354,103.63,6.98
9100,13.08,1.43,352,102.23,6.9
9200,13.05,1.43,354,102.38,6.99
9300,13.06,1.42,352,102.89,6.89
9400,13.08,1.43,352,102.27,6.94
9500,13.05,1.43,354,102.74,6.67
9600,13.07,1.43,352,101.63,6.91
9700,13.06,1.42,352,101.7,6.97
9800,13.05,1.44,354,102.83,6.97
9900,13.08,1.41,352,101.82,6.9
10000,13.08,1.43,352,101.97,6.59
10100,13.08,1.44,352,102.47,6.89
10200,13.08,1.43,354,101.95,6.91
10300,13.06,1.42,352,101.23,6.96
10400,13.04,1.42,352,102.01,6.87
10500,13.06,1.42,352,102.27,6.9
10600,13.07,1.42,352,101.24,6.92
10700,13.07,1.43,354,102.54,6.93
10800,13.07,1.44,354,102.26,6.93
10900,13.07,1.42,354,102.62,6.96
11000,13.06,1.42,352,102.43,7.01
11100,13.05,1.43,352,101.63,6.61
11200,13.08,1.42,352,102.28,7.03
11300,13.06,1.42,352,102.69,6.93
11400,13.07,1.43,352,102.21,6.93
11500,13.09,1.42,352,102.15,6.93
11600,13.05,1.41,352,101.83,6.89
11700,13.06,1.43,352,103.12,6.7
11800,13.05,1.42,354,102.1,7.01
11900,13.06,1.43,354,102.57,6.91
12000,13.07,1.43,352,102.17,6.92
12100,13.07,1.42,352,102.07,6.93
12200,13.08,1.43,352,102.74,6.67
12300,13.09,1.42,354,102.36,6.98
12400,13.11,1.42,352,102.88,7
12500,13.09,1.42,354,102.66,7.08
12600,13.09,1.42,354,102.29,6.95
12700,13.04,1.43,352,102.25,6.93
12800,13.05,1.43,352,102.36,6.93
12900,13.09,1.42,352,102.51,6.66
13000,13.1,1.42,352,103.57,7
13100,13.1,1.44,352,102.35,6.97
13200,13.1,1.44,352,102.67,6.99
13300,13.14,1.45,352,102.71,6.97
