@RELATION H8

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
0,13.03,2.18,382,108.88,4.28
2,13.05,2.18,382,110.32,4.31
100,13.11,2.09,380,107.85,4.34
200,13.11,2.05,380,107.83,4.93
300,13.11,2.07,378,108.48,4.96
400,13.11,2.06,380,108.76,5.22
500,13.1,2.09,378,108.13,4.3
600,13.1,2.03,376,109.16,5.22
700,13.12,2.06,378,108.65,5.19
800,13.11,2.06,378,109.38,5.18
900,13.11,2.03,378,108.95,5
1000,13.12,2.04,378,108.33,5.22
1100,13.13,2.04,376,108.88,4.98
1200,13.09,2.04,376,109.29,4.3
1300,13.09,2.05,378,109.03,5.21
1400,13.11,2.04,378,109.98,4.89
1500,13.08,2.04,376,107.34,5.16
1600,13.1,2.03,374,107.93,4.98
1700,13.12,2.03,374,108.58,5.14
1777,13.13,2.03,374,107.09,4.3
1800,13.09,2.03,376,107.59,4.25
1900,13.09,2.01,374,109.33,5.18
1942,13.1,2.11,378,108.05,4.24
2000,13.1,2.06,376,108.8,4.85
2100,13.12,2.04,376,109.66,5.19
2175,13.12,2,376,109.9,4.33
2200,13.11,2.14,376,109.49,4.3
2300,13.12,2.05,376,108.87,4.3
2400,13.13,1.98,372,110.26,4.94
2500,13.11,1.96,372,109.26,5.16
2600,13.08,1.98,372,110.45,4.28
2700,13.1,2,372,109.91,4.28
2800,13.13,1.98,372,109.58,4.92
2900,13.11,1.99,372,107.88,5.15
3000,13.08,1.99,370,108.78,5.13
3100,13.1,1.99,372,108.73,4.31
3200,13.09,1.98,372,108.12,4.24
3300,13.08,1.99,372,107.79,4.29
3400,13.08,1.99,370,108.16,5.12
3500,13.11,1.98,372,108.52,5.18
3600,13.1,1.97,370,108.03,4.94
3700,13.12,1.98,370,107.82,5.19
3800,13.11,1.99,370,107.98,4.88
3900,13.11,1.99,370,108.17,4.26
4000,13.09,1.99,370,108.81,5.17
4100,13.1,1.98,370,108.34,5.18
4200,13.09,1.98,370,108.41,4.89
4300,13.1,1.98,370,108.13,5.12
4400,13.11,1.97,370,108.19,5.18
4500,13.13,1.98,370,107.43,5.18
4600,13.09,1.99,372,107.84,5.17
