@RELATION H7

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL

@DATA
0,13.18,1.8,356,108.2,5.22
2,13.17,1.77,356,108.72,5.22
100,13.18,1.75,352,111.05,6.12
200,13.15,1.73,350,111.95,5.88
300,13.17,1.75,352,111.88,5.96
400,13.16,1.73,352,110.7,6.2
500,13.19,1.74,350,110.14,6.09
600,13.17,1.73,352,110.22,6.17
700,13.16,1.73,352,110.04,6.1
800,13.15,1.71,352,109.73,6.12
900,13.16,1.71,350,109.69,6.12
1000,13.14,1.73,354,110.07,6.12
1100,13.18,1.72,350,110.99,6.21
1200,13.15,1.76,354,110.43,6.11
1300,13.15,1.72,352,110.24,6.17
1400,13.17,1.7,352,109.65,6.08
1500,13.14,1.71,350,109.52,6.08
1600,13.15,1.73,352,110.94,6.18
1700,13.17,1.73,352,111.62,6.14
1777,13.14,1.73,350,109.89,6.13
1800,13.12,1.73,352,110.22,6.2
1900,13.17,1.71,352,110.06,6.18
1942,13.19,1.78,358,110.11,6.12
2000,13.16,1.73,356,107.97,6.06
2100,13.19,1.73,354,108.88,6.06
2175,13.17,1.75,354,110.44,5.87
2200,13.17,1.67,352,107.58,5.2
2300,13.16,1.74,350,109.74,6.07
2400,13.15,1.7,348,109.68,6.07
2500,13.14,1.71,350,110.28,6.11
2600,13.13,1.71,348,109.96,6.12
2700,13.15,1.69,350,110.45,6.17
2800,13.14,1.7,350,109.56,6.15
2900,13.14,1.72,352,111.47,6.21
3000,13.12,1.71,352,109.26,6.09
3100,13.14,1.7,350,109.71,6.17
3200,13.15,1.67,350,109.61,5.86
3300,13.16,1.7,350,109.29,6.11
3400,13.15,1.69,350,108.06,5.82
3500,13.12,1.67,350,106.94,6.12
3600,13.14,1.71,350,109.21,6.13
3700,13.13,1.69,352,108.92,6.11
3800,13.16,1.69,352,108.19,5.84
3900,13.14,1.7,350,107.87,6.11
4000,13.15,1.71,352,109.1,6.04
4100,13.18,1.69,350,106.9,6.12
4200,13.14,1.72,350,111.32,5.86
4300,13.16,1.7,352,108.8,6.16
4400,13.15,1.71,354,111.75,6.08
4500,13.15,1.7,352,106.39,5.87
4600,13.19,1.7,350,107.35,6.08
4700,13.16,1.72,350,107.7,6.08
4800,13.16,1.71,352,107.32,6.1
4900,13.19,1.71,350,106.32,6.13
5000,13.16,1.72,350,106.14,6.12
5100,13.15,1.72,352,107.01,6.15
5200,13.17,1.72,350,107.24,6.16
