308800 , 13.2 , 1.61 , 354 , 105.18 , 8.78 
308900 , 13.18 , 1.61 , 340 , 105.12 , 8.77 
309000 , 13.18 , 1.61 , 336 , 104.94 , 8.74 
309100 , 13.17 , 1.6 , 336 , 104.88 , 9.01 
309200 , 13.18 , 1.6 , 344 , 105.59 , 8.66 
309300 , 13.18 , 1.61 , 334 , 105.02 , 8.25 
309400 , 13.17 , 1.6 , 334 , 105.17 , 8.88 
309500 , 13.18 , 1.59 , 344 , 104.6 , 9.03 
309600 , 13.16 , 1.61 , 338 , 104.75 , 8.58 
309700 , 13.18 , 1.61 , 352 , 104.98 , 9.03 
309800 , 13.18 , 1.61 , 336 , 104.71 , 8.47 
309900 , 13.19 , 1.62 , 362 , 105.58 , 8.83 
310000 , 13.19 , 1.6 , 342 , 105 , 8.87 
310100 , 13.18 , 1.61 , 366 , 104.33 , 8.77 
310200 , 13.18 , 1.61 , 366 , 104.63 , 8.73 
310300 , 13.18 , 1.6 , 354 , 104.98 , 8.62 
310400 , 13.18 , 1.62 , 356 , 104.86 , 8.71 
310500 , 13.16 , 1.62 , 350 , 104.57 , 8.64 
310600 , 13.18 , 1.62 , 366 , 104.71 , 8.54 
310700 , 13.17 , 1.62 , 354 , 105.06 , 9.08 
310800 , 13.18 , 1.6 , 374 , 105.26 , 8.81 
310900 , 13.19 , 1.6 , 348 , 104.42 , 8.93 
311000 , 13.2 , 1.6 , 398 , 104.69 , 8.88 
311100 , 13.18 , 1.61 , 360 , 104.88 , 8.51 
311200 , 13.16 , 1.6 , 378 , 104.9 , 8.19 
311300 , 13.17 , 1.61 , 380 , 104.72 , 8.73 
311400 , 13.19 , 1.6 , 390 , 104.54 , 8.35 
311500 , 13.2 , 1.61 , 348 , 104.59 , 8.52 
311600 , 13.17 , 1.61 , 352 , 104.68 , 8.54 
311700 , 13.18 , 1.61 , 354 , 104.78 , 8.72 
311800 , 13.17 , 1.61 , 346 , 104.59 , 8.99 
311900 , 13.18 , 1.61 , 360 , 105.6 , 9.02 
312000 , 13.18 , 1.61 , 378 , 104.95 , 8.38 
312100 , 13.18 , 1.6 , 344 , 105.5 , 9.07 
312101 , 13.17 , 1.73 , 354 , 107.4 , 7.08 
312200 , 13.18 , 1.66 , 374 , 105.02 , 8.53 
312300 , 13.17 , 1.61 , 378 , 103.76 , 8.25 
312400 , 13.18 , 1.62 , 366 , 103.98 , 8.6 
312500 , 13.19 , 1.63 , 342 , 104.46 , 8.55 
312600 , 13.18 , 1.62 , 340 , 104.81 , 8.36 
312700 , 13.17 , 1.63 , 344 , 104.94 , 8.95 
312800 , 13.17 , 1.64 , 344 , 104.33 , 8.91 
312900 , 13.18 , 1.63 , 350 , 104.81 , 8.23 
313000 , 13.19 , 1.64 , 342 , 105.39 , 8.66 
313100 , 13.2 , 1.64 , 356 , 105.24 , 8.86 
313200 , 13.18 , 1.63 , 346 , 103.77 , 8.14 
313300 , 13.18 , 1.63 , 350 , 104.1 , 8.1 
313400 , 13.18 , 1.61 , 352 , 104.67 , 8.2 
313500 , 13.18 , 1.63 , 348 , 104.63 , 8.86 
313600 , 13.2 , 1.63 , 352 , 103.79 , 8.42 
313700 , 13.17 , 1.61 , 360 , 104.68 , 8.78 
313800 , 13.19 , 1.62 , 358 , 104.12 , 8.42 
313900 , 13.18 , 1.63 , 364 , 104.69 , 8.92 
314000 , 13.19 , 1.63 , 358 , 104.52 , 8.06 
314100 , 13.18 , 1.62 , 358 , 104.17 , 8.15 
314200 , 13.18 , 1.62 , 366 , 104.88 , 8.42 
314300 , 13.17 , 1.63 , 360 , 104.55 , 8.54 
314400 , 13.19 , 1.62 , 368 , 104.18 , 8.94 
314500 , 13.18 , 1.62 , 350 , 104.8 , 7.9 
314600 , 13.19 , 1.61 , 368 , 103.57 , 8.4 
314700 , 13.18 , 1.63 , 374 , 104.9 , 8.8 
314800 , 13.18 , 1.61 , 352 , 104.6 , 7.98 
314900 , 13.19 , 1.63 , 370 , 103.9 , 8.15 
315000 , 13.17 , 1.62 , 352 , 104.62 , 8.94 
315100 , 13.19 , 1.63 , 342 , 104.53 , 8.67 
315200 , 13.16 , 1.63 , 354 , 104.48 , 8.87 
315300 , 13.16 , 1.63 , 364 , 105.08 , 8.13 
315400 , 13.16 , 1.64 , 348 , 104.89 , 8.95 
315500 , 13.13 , 1.62 , 348 , 104.95 , 8.74 
315600 , 13.14 , 1.62 , 352 , 104.69 , 8.45 
315700 , 13.16 , 1.63 , 362 , 104.63 , 8.45 
315800 , 13.14 , 1.63 , 372 , 104.34 , 8.56 
315812 , 13.13 , 1.76 , 356 , 105.68 , 7.49 
315900 , 13.15 , 1.66 , 358 , 105.6 , 7.74 
316000 , 13.12 , 1.64 , 358 , 105.8 , 8.82 
316100 , 13.15 , 1.63 , 380 , 106.04 , 8.88 
316200 , 13.14 , 1.63 , 356 , 106.32 , 8.6 
316300 , 13.14 , 1.63 , 360 , 106.12 , 8.59 
316400 , 13.14 , 1.63 , 352 , 105.41 , 8.07 
316500 , 13.21 , 1.63 , 364 , 105.06 , 8.57 
316600 , 13.17 , 1.63 , 350 , 104.56 , 8.73 
316700 , 13.17 , 1.64 , 354 , 105.37 , 8.34 
316800 , 13.19 , 1.64 , 370 , 105.47 , 8.2 
316900 , 13.17 , 1.64 , 346 , 104.1 , 8.71 
317000 , 13.18 , 1.63 , 368 , 103.91 , 8.54 
317100 , 13.17 , 1.64 , 340 , 105.42 , 8.71 
317200 , 13.17 , 1.64 , 354 , 105.34 , 8.85 
317300 , 13.19 , 1.63 , 350 , 105.06 , 8.17 
317400 , 13.18 , 1.64 , 346 , 105.32 , 7.95 
317500 , 13.16 , 1.64 , 360 , 105.25 , 8.03 
317600 , 13.17 , 1.62 , 376 , 105.18 , 8.15 
317700 , 13.18 , 1.64 , 350 , 104.78 , 8.87 
317800 , 13.17 , 1.63 , 358 , 104.54 , 7.95 
317900 , 13.17 , 1.63 , 344 , 104.1 , 8.33 
318000 , 13.2 , 1.63 , 366 , 104.31 , 8.75 
318100 , 13.16 , 1.64 , 358 , 104.83 , 8.6 
318200 , 13.18 , 1.62 , 364 , 105.22 , 8.18 
318300 , 13.16 , 1.64 , 340 , 105.85 , 8.77 
318400 , 13.17 , 1.64 , 354 , 106.08 , 8.59 
318500 , 13.17 , 1.62 , 356 , 105.23 , 8.2 
318600 , 13.19 , 1.63 , 360 , 104.34 , 8.46 
318700 , 13.18 , 1.62 , 354 , 105.32 , 8.76 
318800 , 13.18 , 1.62 , 386 , 104.34 , 8.06 
318900 , 13.19 , 1.63 , 354 , 104.37 , 8.58 
319000 , 13.18 , 1.63 , 340 , 105.15 , 8.45 
319100 , 13.17 , 1.63 , 344 , 104.65 , 8.92 
319200 , 13.19 , 1.64 , 340 , 104.6 , 8.71 
319300 , 13.18 , 1.63 , 354 , 104.16 , 7.94 
319400 , 13.21 , 1.63 , 352 , 104.59 , 8.66 
319500 , 13.21 , 1.64 , 340 , 104.46 , 8.18 
319600 , 13.16 , 1.63 , 340 , 104.48 , 8.19 
319700 , 13.19 , 1.63 , 352 , 104.3 , 8.71 
319800 , 13.18 , 1.62 , 364 , 104.17 , 8.06 
319900 , 13.18 , 1.63 , 342 , 105.12 , 8.41 
320000 , 13.18 , 1.62 , 342 , 104.83 , 8.67 
320100 , 13.17 , 1.62 , 368 , 104.88 , 8.84 
320200 , 13.2 , 1.62 , 348 , 104.43 , 8.22 
320300 , 13.18 , 1.62 , 350 , 104.46 , 8.49 
320400 , 13.17 , 1.63 , 354 , 105.18 , 8.51 
320500 , 13.2 , 1.63 , 350 , 106.15 , 8.43 
320600 , 13.18 , 1.61 , 350 , 103.51 , 8.46 
320700 , 13.18 , 1.62 , 388 , 104.32 , 8.51 
320800 , 13.19 , 1.63 , 342 , 105.01 , 8.75 
320900 , 13.19 , 1.63 , 362 , 105.47 , 8.52 
321000 , 13.19 , 1.63 , 360 , 104.52 , 8.36 
321100 , 13.16 , 1.62 , 358 , 104.13 , 8.76 
321200 , 13.19 , 1.64 , 356 , 104.58 , 8.66 
321300 , 13.19 , 1.63 , 352 , 106.5 , 8.38 
321400 , 13.2 , 1.63 , 360 , 105.02 , 8.23 
321500 , 13.18 , 1.62 , 374 , 104.68 , 8.78 
321600 , 13.16 , 1.62 , 354 , 105.29 , 8.67 
321700 , 13.16 , 1.62 , 376 , 104.21 , 8.41 
321800 , 13.18 , 1.62 , 382 , 104.07 , 8.54 
321900 , 13.2 , 1.63 , 370 , 105.42 , 8.33 
322000 , 13.18 , 1.62 , 340 , 104.97 , 8.84 
322100 , 13.19 , 1.62 , 344 , 103.99 , 8.79 
322200 , 13.18 , 1.64 , 348 , 105.3 , 8.53 
322300 , 13.17 , 1.63 , 340 , 105.64 , 8.62 
322400 , 13.17 , 1.63 , 346 , 106.46 , 8.18 
322500 , 13.17 , 1.64 , 344 , 106.45 , 8.01 
322600 , 13.17 , 1.63 , 348 , 105.33 , 8.39 
322700 , 13.17 , 1.63 , 372 , 104.77 , 8.77 
322800 , 13.18 , 1.63 , 354 , 104.94 , 8.17 
322900 , 13.18 , 1.63 , 358 , 103.97 , 8.41 
323000 , 13.16 , 1.63 , 342 , 104.42 , 8.64 
323100 , 13.18 , 1.63 , 344 , 104.42 , 8.31 
323200 , 13.15 , 1.63 , 362 , 104.6 , 8.05 
323300 , 13.18 , 1.62 , 354 , 105.16 , 8.47 
323400 , 13.15 , 1.64 , 352 , 105.24 , 8.38 
323500 , 13.15 , 1.63 , 340 , 104.34 , 8.05 
323600 , 13.15 , 1.64 , 350 , 105.62 , 8.36 
323700 , 13.12 , 1.63 , 342 , 103.95 , 8.36 
323800 , 13.17 , 1.63 , 362 , 104.74 , 8.64 
323900 , 13.16 , 1.63 , 356 , 104.79 , 8.72 
324000 , 13.16 , 1.62 , 352 , 105.6 , 8.73 
324100 , 13.15 , 1.63 , 346 , 105.09 , 7.96 
324200 , 13.19 , 1.62 , 348 , 105.87 , 8.68 
324300 , 13.16 , 1.63 , 332 , 106.29 , 8.12 
324400 , 13.15 , 1.64 , 342 , 105 , 8.53 
324500 , 13.15 , 1.63 , 348 , 105.05 , 8.22 
324600 , 13.14 , 1.63 , 348 , 104.38 , 8.82 
324700 , 13.16 , 1.64 , 344 , 104.58 , 8.21 
324800 , 13.14 , 1.64 , 350 , 105.32 , 8.49 
324900 , 13.18 , 1.62 , 356 , 105.21 , 8.75 
325000 , 13.15 , 1.64 , 336 , 105.15 , 8.62 
325100 , 13.18 , 1.64 , 336 , 105.52 , 8.42 
325200 , 13.2 , 1.62 , 342 , 104.93 , 8.64 
325300 , 13.17 , 1.64 , 346 , 105.8 , 8.32 
325400 , 13.14 , 1.63 , 352 , 105.02 , 8.11 
325500 , 13.18 , 1.64 , 354 , 105.54 , 8.68 
325600 , 13.18 , 1.64 , 346 , 105.25 , 8.61 
325700 , 13.15 , 1.63 , 342 , 105.32 , 8.03 
325800 , 13.17 , 1.63 , 350 , 105.06 , 8.29 
325900 , 13.17 , 1.64 , 344 , 105.34 , 8.54 
326000 , 13.16 , 1.64 , 346 , 104.52 , 8.11 
326100 , 13.16 , 1.63 , 352 , 104.81 , 8 
326200 , 13.13 , 1.64 , 340 , 105.1 , 8.57 
326300 , 13.16 , 1.63 , 354 , 105.12 , 8.88 
326400 , 13.17 , 1.62 , 348 , 104.93 , 8.91 
