@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
9600 , 13.16 , 1.45 , 386 , 105.85 , 6.49 
9700 , 13.15 , 1.45 , 374 , 106.16 , 6.66 
9800 , 13.16 , 1.46 , 364 , 105.85 , 6.32 
9900 , 13.1 , 1.47 , 358 , 106.27 , 7.2 
10000 , 13.14 , 1.45 , 362 , 106.44 , 6.8 
10100 , 13.13 , 1.47 , 366 , 106.82 , 6.98 
10200 , 13.11 , 1.45 , 374 , 106.46 , 6.85 
10300 , 13.13 , 1.48 , 362 , 107.54 , 6.97 
10400 , 13.1 , 1.45 , 370 , 107.27 , 6.57 
10500 , 13.12 , 1.47 , 358 , 106.61 , 7.02 
10600 , 13.12 , 1.46 , 372 , 107.97 , 6.98 
10700 , 13.12 , 1.48 , 372 , 108.2 , 6.74 
10800 , 13.12 , 1.47 , 364 , 107.67 , 6.52 
10900 , 13.12 , 1.47 , 370 , 107.21 , 6.37 
11000 , 13.1 , 1.47 , 372 , 106.97 , 7.07 
11100 , 13.14 , 1.48 , 370 , 106.15 , 6.29 
11200 , 13.16 , 1.47 , 358 , 107.01 , 6.68 
11300 , 13.15 , 1.47 , 362 , 106.96 , 6.72 
11400 , 13.17 , 1.46 , 360 , 107.4 , 7.08 
11500 , 13.17 , 1.49 , 370 , 106.39 , 6.58 
11600 , 13.13 , 1.48 , 356 , 107.73 , 6.24 
11700 , 13.15 , 1.48 , 368 , 106.85 , 7.06 
11800 , 13.17 , 1.45 , 360 , 108.79 , 6.96 
11900 , 13.17 , 1.46 , 370 , 107.11 , 6.19 
12000 , 13.15 , 1.46 , 358 , 107.81 , 6.49 
12100 , 13.15 , 1.46 , 368 , 109.04 , 6.29 
12101 , 13.18 , 1.46 , 358 , 106.86 , 5.91 
12200 , 13.17 , 1.47 , 356 , 107.75 , 6.86 
12300 , 13.14 , 1.46 , 364 , 108.23 , 6.81 
12400 , 13.16 , 1.47 , 368 , 108.15 , 6.38 
12500 , 13.16 , 1.47 , 352 , 108.35 , 7.14 
12600 , 13.16 , 1.46 , 364 , 108.54 , 6.97 
12700 , 13.12 , 1.47 , 352 , 107.42 , 7.02 
12800 , 13.17 , 1.46 , 356 , 108.23 , 6.73 
12900 , 13.15 , 1.45 , 372 , 108.49 , 6.46 
13000 , 13.16 , 1.47 , 354 , 108.48 , 6.49 
