@relation Training

@attribute COUNT numeric
@attribute "POWER SUPPLY VOLTAGE" numeric
@attribute CURRENT numeric
@attribute FREQUENCY numeric
@attribute "NOISE LEVEL" numeric
@attribute "OPERATING VOLTAGE RANGE" numeric


@data
41000 , 13.19 , 0.04 , 0 , 51.24 , 0 
41100 , 13.16 , 0.04 , 0 , 52.67 , 0 
41200 , 13.14 , 1.4 , 384 , 105.49 , 7.88 
41300 , 13.11 , 1.36 , 372 , 104.67 , 8.81 
41400 , 13.11 , 1.36 , 370 , 105.03 , 7.12 
41500 , 13.2 , 0.05 , 0 , 52.64 , 0 
41600 , 13.16 , 0.05 , 0 , 51.88 , 0 
41700 , 13.18 , 0.05 , 0 , 52.38 , 0 
41800 , 13.19 , 0.04 , 0 , 53.38 , 0 
41900 , 13.14 , 1.48 , 370 , 106.3 , 8.38 
42000 , 13.19 , 0.04 , 0 , 51.22 , 0 
42100 , 13.17 , 0.05 , 0 , 50.52 , 0 
42200 , 13.13 , 1.33 , 364 , 102.8 , 8.36 
42300 , 13.15 , 1.32 , 384 , 104.77 , 8.19 
42400 , 13.12 , 1.05 , 394 , 100.99 , 8.98 
42500 , 13.12 , 1.31 , 378 , 103.53 , 8.3 
42600 , 13.11 , 1.34 , 358 , 103.92 , 8.91 
42700 , 13.11 , 1.38 , 368 , 104.63 , 8 
42800 , 13.14 , 1.28 , 396 , 102.79 , 8.91 
42900 , 13.14 , 1.3 , 374 , 102.51 , 8.14 
43000 , 13.13 , 1.4 , 362 , 106.63 , 7.93 
43100 , 13.14 , 1.26 , 392 , 103.33 , 7.57 
43200 , 13.13 , 1.26 , 376 , 104.07 , 8.36 
43300 , 13.14 , 1.32 , 372 , 102.59 , 9.02 
43400 , 13.11 , 1.37 , 384 , 104.68 , 7.73 
43500 , 13.11 , 1.46 , 364 , 106.53 , 7.25 
43600 , 13.12 , 1.36 , 372 , 105.27 , 7.71 
43700 , 13.15 , 1.39 , 366 , 106.54 , 8.85 
43800 , 13.15 , 1.34 , 374 , 106.01 , 8.07 
43900 , 13.14 , 0.99 , 414 , 96.99 , 7.86 
44000 , 13.13 , 1 , 374 , 99.19 , 10.42 
44100 , 13.14 , 0.97 , 408 , 99.57 , 8.72 
44200 , 13.13 , 1.27 , 372 , 103.61 , 8.9 
44300 , 13.13 , 1.35 , 370 , 104.01 , 8.01 
44400 , 13.13 , 0.66 , 348 , 79.53 , 9.12 
44500 , 13.16 , 0.05 , 0 , 52.92 , 0 
44509 , 13.12 , 1.63 , 364 , 104.52 , 5.98 
44600 , 13.16 , 0.91 , 420 , 97.85 , 8.57 
44700 , 13.18 , 0.07 , 0 , 52.34 , 0 
44800 , 13.17 , 0.06 , 0 , 51.73 , 0 
44900 , 13.16 , 0.06 , 0 , 51.49 , 0 
45000 , 13.16 , 0.06 , 0 , 52.28 , 0 
45046 , 13.15 , 0.99 , 574 , 96.88 , 7.99 
45100 , 13.11 , 1.26 , 356 , 102.47 , 9.63 
45200 , 13.1 , 1.41 , 352 , 107.42 , 9.08 
45300 , 13.11 , 1.37 , 376 , 105.33 , 9.06 
45400 , 13.11 , 1.38 , 368 , 106.57 , 7.91 
45500 , 13.15 , 0.06 , 0 , 51.87 , 0 
45600 , 13.16 , 0.07 , 0 , 51.84 , 0 
45700 , 13.18 , 0.06 , 0 , 50.52 , 0 
45800 , 13.14 , 0.06 , 0 , 50.89 , 0 
45880 , 13.08 , 1.67 , 374 , 104.9 , 5.19 
45900 , 13.09 , 1.62 , 360 , 108.11 , 6.52 
46000 , 13.09 , 1.57 , 354 , 108.38 , 6.68 
46100 , 13.12 , 1.57 , 364 , 106.96 , 7.01 
46200 , 13.13 , 1.56 , 354 , 107.31 , 6.33 
46300 , 13.11 , 1.55 , 366 , 107.94 , 6.93 
46400 , 13.12 , 1.56 , 356 , 106.5 , 7.62 
46500 , 13.12 , 1.56 , 362 , 107.23 , 7.19 
46560 , 13.1 , 1.62 , 370 , 105.75 , 6.03 
46600 , 13.11 , 1.59 , 356 , 106.98 , 6.27 
46700 , 13.09 , 1.56 , 348 , 108.58 , 6.77 
46800 , 13.12 , 1.57 , 352 , 108.53 , 0.95 
46900 , 13.1 , 1.57 , 362 , 109.2 , 6.41 
47000 , 13.13 , 1.57 , 356 , 109.18 , 6.83 
47100 , 13.1 , 1.57 , 366 , 108.34 , 6.22 
47200 , 13.14 , 1.58 , 372 , 109.51 , 6.34 
47300 , 13.13 , 1.56 , 358 , 108.28 , 6.25 
47400 , 13.09 , 1.57 , 358 , 109.48 , 6.35 
47500 , 13.13 , 1.58 , 360 , 107.9 , 6.66 
47600 , 13.14 , 1.58 , 364 , 109.23 , 6.37 
47700 , 13.12 , 1.57 , 356 , 109.21 , 6.66 
47800 , 13.11 , 1.58 , 360 , 109.64 , 7.16 
47900 , 13.14 , 1.57 , 360 , 108.54 , 6.9 
48000 , 13.11 , 1.57 , 362 , 108.45 , 6.85 
48096 , 13.14 , 1.69 , 376 , 106.04 , 5.33 
48100 , 13.13 , 1.67 , 372 , 107.17 , 6.01 
48200 , 13.13 , 1.59 , 360 , 107.43 , 6.84 
48219 , 13.14 , 1.68 , 372 , 106.92 , 5.37 
48300 , 13.13 , 1.57 , 362 , 106.86 , 6.09 
48400 , 13.13 , 1.57 , 354 , 106.96 , 5.95 
48500 , 13.13 , 1.57 , 360 , 107.86 , 6.3 
48600 , 13.11 , 1.58 , 356 , 106.81 , 6.2 
48700 , 13.14 , 1.57 , 368 , 107.06 , 6.81 
48800 , 13.13 , 1.57 , 358 , 107.69 , 6.66 
48900 , 13.13 , 1.56 , 354 , 107.97 , 6.24 
49000 , 13.13 , 1.57 , 354 , 108.05 , 6.69 
49100 , 13.12 , 1.57 , 358 , 107.26 , 6.05 
49200 , 13.15 , 1.57 , 354 , 108.44 , 6.45 
49300 , 13.11 , 1.56 , 362 , 108.64 , 6.82 
49400 , 13.15 , 1.58 , 360 , 107.68 , 6.79 
49500 , 13.12 , 1.57 , 354 , 109.04 , 6.19 
49600 , 13.13 , 1.56 , 362 , 108.36 , 6.6 
49700 , 13.16 , 1.58 , 364 , 107.1 , 6.43 
49800 , 13.14 , 1.58 , 360 , 108.12 , 6.71 
49900 , 13.13 , 1.57 , 348 , 108.78 , 6.31 
50000 , 13.14 , 1.57 , 356 , 108.9 , 6.56 
50100 , 13.13 , 1.57 , 358 , 108.81 , 6.3 
50200 , 13.13 , 1.56 , 356 , 108.22 , 5.97 
50300 , 13.13 , 1.56 , 358 , 109.05 , 6.94 
50400 , 13.16 , 1.57 , 352 , 108.55 , 6.47 
50500 , 13.17 , 1.56 , 360 , 109.03 , 6.11 
50600 , 13.15 , 1.56 , 356 , 108.34 , 6.78 
50700 , 13.14 , 1.56 , 358 , 108.27 , 6.96 
50800 , 13.13 , 1.57 , 354 , 108.22 , 6.26 
50900 , 13.14 , 1.56 , 354 , 108.45 , 6.21 
51000 , 13.17 , 1.57 , 354 , 108.87 , 6.52 
51100 , 13.16 , 1.57 , 366 , 108.8 , 6.17 
51200 , 13.16 , 1.56 , 356 , 109.11 , 6.96 
51300 , 13.15 , 1.56 , 356 , 108.28 , 6.65 
51400 , 13.17 , 1.55 , 354 , 108.23 , 6.38 
51500 , 13.15 , 1.55 , 362 , 108.54 , 6.88 
51600 , 13.13 , 1.54 , 354 , 107 , 6.27 
51700 , 13.17 , 1.55 , 356 , 107.59 , 6.94 
51800 , 13.16 , 1.56 , 360 , 108.52 , 6.82 
51900 , 13.16 , 1.56 , 360 , 108.07 , 6.8 
52000 , 13.17 , 1.55 , 350 , 107.48 , 6.87 
52100 , 13.15 , 1.55 , 350 , 107.33 , 6.9 
52200 , 13.17 , 1.57 , 362 , 108.96 , 6.62 
52300 , 13.13 , 1.57 , 362 , 108.74 , 6.34 
52400 , 13.16 , 1.54 , 354 , 108.35 , 6.38 
52500 , 13.16 , 1.56 , 352 , 108.2 , 6.88 
52600 , 13.13 , 1.58 , 366 , 109.27 , 6.74 
52700 , 13.12 , 1.6 , 360 , 108.04 , 6.73 
52800 , 13.11 , 1.59 , 348 , 108.78 , 6.9 
52900 , 13.14 , 1.58 , 354 , 108.68 , 6.57 
53000 , 13.12 , 1.59 , 376 , 108.67 , 6.84 
53100 , 13.13 , 1.58 , 356 , 107.9 , 6.76 
53200 , 13.12 , 1.59 , 360 , 108.42 , 6.76 
53300 , 13.1 , 1.59 , 360 , 108.04 , 7.12 
53400 , 13.13 , 1.58 , 358 , 108.08 , 6.46 
53500 , 13.1 , 1.58 , 366 , 108.98 , 6.45 
53600 , 13.12 , 1.58 , 362 , 108.78 , 6.04 
53700 , 13.07 , 1.59 , 358 , 108.94 , 6.51 
53800 , 13.11 , 1.59 , 362 , 109.09 , 6.34 
53900 , 13.11 , 1.58 , 364 , 108.19 , 6.67 
54000 , 13.09 , 1.6 , 368 , 108.02 , 7.1 
54100 , 13.13 , 1.6 , 362 , 109.82 , 6.78 
54200 , 13.12 , 1.58 , 358 , 109.04 , 7.1 
54300 , 13.12 , 1.59 , 356 , 108.37 , 6.65 
54400 , 13.12 , 1.6 , 362 , 108.58 , 6.4 
54500 , 13.12 , 1.58 , 366 , 107.38 , 6.72 
54600 , 13.13 , 1.59 , 354 , 107.23 , 6.94 
54700 , 13.1 , 1.6 , 358 , 108.71 , 6.72 
54800 , 13.12 , 1.58 , 362 , 107.58 , 6.69 
54900 , 13.1 , 1.6 , 350 , 108.77 , 6.41 
55000 , 13.12 , 1.58 , 366 , 108.36 , 7.38 
55100 , 13.12 , 1.6 , 354 , 109.07 , 7.05 
55200 , 13.12 , 1.61 , 360 , 108.34 , 6.96 
55300 , 13.09 , 1.59 , 364 , 107.79 , 6.76 
55400 , 13.1 , 1.59 , 358 , 108.66 , 6.72 
55500 , 13.13 , 1.6 , 368 , 108.7 , 6.47 
55600 , 13.1 , 1.6 , 358 , 106.99 , 6.9 
55700 , 13.12 , 1.61 , 362 , 108.72 , 7.08 
55800 , 13.11 , 1.62 , 350 , 110.14 , 6.9 
55900 , 13.12 , 1.6 , 362 , 108.88 , 6.96 
56000 , 13.1 , 1.59 , 366 , 107.93 , 6.84 
56100 , 13.1 , 1.59 , 356 , 108.26 , 6.53 
56200 , 13.1 , 1.6 , 350 , 108.88 , 7.01 
56300 , 13.11 , 1.59 , 360 , 109.3 , 7 
56400 , 13.09 , 1.6 , 366 , 107.19 , 6.93 
56500 , 13.09 , 1.6 , 360 , 108.56 , 6.78 
56600 , 13.13 , 1.59 , 366 , 107.3 , 7.07 
56700 , 13.12 , 1.6 , 366 , 107.58 , 6.88 
56800 , 13.13 , 1.6 , 366 , 108.34 , 7.26 
56900 , 13.11 , 1.6 , 364 , 108.63 , 7.04 
57000 , 13.11 , 1.6 , 356 , 107.74 , 6.69 
57100 , 13.13 , 1.61 , 372 , 108.6 , 6.47 
57200 , 13.11 , 1.6 , 354 , 106.89 , 6.28 
57300 , 13.1 , 1.6 , 364 , 107 , 6.75 
57400 , 13.11 , 1.6 , 372 , 108.73 , 7.44 
57500 , 13.07 , 1.58 , 370 , 107.37 , 6.75 
57600 , 13.12 , 1.59 , 348 , 107.73 , 7.11 
57700 , 13.08 , 1.6 , 364 , 108.1 , 6.51 
57800 , 13.1 , 1.6 , 354 , 108.01 , 6.32 
57900 , 13.11 , 1.61 , 360 , 107.57 , 6.88 
58000 , 13.13 , 1.6 , 356 , 106.97 , 6.16 
58100 , 13.12 , 1.6 , 358 , 107.39 , 6.43 
58200 , 13.12 , 1.61 , 358 , 108.75 , 6.55 
58300 , 13.13 , 1.61 , 360 , 107.31 , 6.7 
58400 , 13.1 , 1.6 , 368 , 107.72 , 7.12 
58500 , 13.11 , 1.61 , 370 , 107.61 , 7.11 
58600 , 13.11 , 1.61 , 364 , 108.14 , 6.87 
58633 , 13.13 , 1.62 , 358 , 106.56 , 6.19 
58700 , 13.11 , 1.61 , 364 , 106.94 , 6.72 
58800 , 13.11 , 1.6 , 358 , 107.75 , 0.94 
58900 , 13.12 , 1.61 , 362 , 107.88 , 6.41 
59000 , 13.12 , 1.62 , 376 , 108.46 , 6.33 
59100 , 13.14 , 1.61 , 356 , 109.71 , 6.22 
59200 , 13.12 , 1.61 , 362 , 108.64 , 6.47 
59300 , 13.1 , 1.61 , 358 , 108.49 , 6.19 
59400 , 13.12 , 1.61 , 350 , 106.78 , 6.58 
59500 , 13.1 , 1.61 , 354 , 108.97 , 6.44 
59600 , 13.1 , 1.61 , 356 , 108.8 , 5.88 
59700 , 13.11 , 1.62 , 360 , 108.35 , 6.03 
59800 , 13.09 , 1.63 , 360 , 109.58 , 6.27 
59900 , 13.1 , 1.61 , 354 , 107.93 , 6.02 
60000 , 13.11 , 1.62 , 360 , 107.17 , 6.56 
60100 , 13.1 , 1.62 , 364 , 108.5 , 6.8 
60200 , 13.13 , 1.62 , 370 , 108.15 , 6.68 
60300 , 13.15 , 1.61 , 346 , 107.86 , 6.38 
60400 , 13.15 , 1.6 , 358 , 107.8 , 6.34 
60500 , 13.16 , 1.6 , 356 , 107.66 , 6.32 
60600 , 13.14 , 1.61 , 358 , 108.27 , 6.46 
60650 , 13.14 , 1.65 , 366 , 106.36 , 5.68 
60651 , 13.15 , 1.73 , 368 , 108.27 , 5.84 
60700 , 13.1 , 1.64 , 378 , 105.19 , 7.49 
60800 , 13.15 , 1.61 , 348 , 109.79 , 6.37 
60900 , 13.13 , 1.6 , 364 , 108.77 , 7.1 
61000 , 13.11 , 1.61 , 358 , 109.17 , 6.49 
61100 , 13.14 , 1.61 , 362 , 108.47 , 7.45 
61200 , 13.16 , 1.61 , 356 , 108.26 , 6.38 
61300 , 13.1 , 1.61 , 354 , 108.72 , 6.8 
61400 , 13.15 , 1.61 , 350 , 109.74 , 6.81 
61500 , 13.13 , 1.62 , 360 , 109.18 , 6.53 
61600 , 13.15 , 1.6 , 352 , 108.25 , 6.15 
61700 , 13.14 , 1.61 , 362 , 109.11 , 6.86 
61800 , 13.13 , 1.61 , 364 , 108.24 , 6.5 
61900 , 13.13 , 1.6 , 360 , 108.41 , 6.33 
62000 , 13.11 , 1.61 , 378 , 106.93 , 6.41 
62100 , 13.13 , 1.62 , 368 , 108.6 , 6.57 
62197 , 13.15 , 1.74 , 370 , 111.99 , 5.15 
62200 , 13.15 , 1.72 , 370 , 106.67 , 5.75 
62201 , 13.13 , 1.73 , 386 , 107.84 , 6.18 
62300 , 13.14 , 1.63 , 360 , 105.69 , 6.4 
62400 , 13.14 , 1.61 , 360 , 107.46 , 6.36 
62500 , 13.16 , 1.6 , 362 , 106.97 , 6.76 
62600 , 13.12 , 1.61 , 360 , 107.63 , 6.88 
62700 , 13.14 , 1.59 , 358 , 108.35 , 6.98 
62800 , 13.13 , 1.61 , 366 , 107.36 , 6.71 
62900 , 13.13 , 1.61 , 360 , 107.89 , 6.81 
63000 , 13.12 , 1.61 , 358 , 109.05 , 6.19 
63100 , 13.14 , 1.61 , 352 , 108.19 , 6.8 
63200 , 13.11 , 1.61 , 366 , 108.76 , 6.49 
63300 , 13.11 , 1.61 , 356 , 108.84 , 6.68 
63400 , 13.12 , 1.6 , 362 , 109.11 , 6.21 
63500 , 13.11 , 1.6 , 362 , 109.26 , 6.61 
63600 , 13.13 , 1.61 , 372 , 107.51 , 6.38 
63700 , 13.14 , 1.6 , 362 , 109.27 , 6.42 
63800 , 13.11 , 1.6 , 352 , 108.6 , 6.39 
63900 , 13.1 , 1.6 , 366 , 108.51 , 7.09 
64000 , 13.11 , 1.6 , 366 , 109.28 , 6.54 
64100 , 13.14 , 1.61 , 364 , 108.56 , 6.65 
64200 , 13.12 , 1.6 , 356 , 108.2 , 6.33 
64300 , 13.11 , 1.6 , 354 , 107.95 , 6.1 
64400 , 13.11 , 1.6 , 360 , 107.45 , 6.87 
64449 , 13.13 , 1.72 , 368 , 107.18 , 5.56 
64500 , 13.15 , 1.64 , 352 , 103.83 , 6.46 
64600 , 13.12 , 1.61 , 362 , 108.94 , 6.56 
64700 , 13.12 , 1.6 , 360 , 109.5 , 6.82 
64800 , 13.14 , 1.6 , 354 , 109.73 , 6.7 
64900 , 13.13 , 1.6 , 360 , 108.67 , 7.48 
65000 , 13.13 , 1.6 , 360 , 108.05 , 7.12 
65100 , 13.13 , 1.61 , 352 , 109.22 , 6.63 
65200 , 13.15 , 1.6 , 360 , 108.16 , 7.1 
65300 , 13.11 , 1.6 , 356 , 109.04 , 6.4 
65400 , 13.11 , 1.6 , 358 , 107.71 , 6.91 
65500 , 13.12 , 1.6 , 356 , 107.75 , 6.51 
65600 , 13.13 , 1.6 , 358 , 107.17 , 7.25 
65700 , 13.14 , 1.58 , 352 , 106.28 , 7.43 
65800 , 13.12 , 1.6 , 362 , 107.37 , 6.8 
65900 , 13.14 , 1.59 , 358 , 108.13 , 6.75 
66000 , 13.14 , 1.6 , 356 , 106.86 , 6.21 
66100 , 13.14 , 1.59 , 356 , 107.59 , 6.43 
66200 , 13.15 , 1.6 , 356 , 107.81 , 7.12 
66300 , 13.15 , 1.6 , 358 , 105.64 , 6.69 
66400 , 13.15 , 1.59 , 350 , 107.84 , 7.2 
66500 , 13.15 , 1.58 , 356 , 108.36 , 7 
66600 , 13.15 , 1.59 , 358 , 107.66 , 7.16 
66700 , 13.13 , 1.59 , 354 , 106.26 , 7.13 
66800 , 13.13 , 1.59 , 352 , 107.52 , 7.39 
66900 , 13.15 , 1.58 , 354 , 106.67 , 6.61 
67000 , 13.14 , 1.59 , 364 , 106.53 , 7.05 
67100 , 13.14 , 1.58 , 354 , 107.24 , 6.95 
67200 , 13.14 , 1.59 , 352 , 107.56 , 7.49 
67300 , 13.15 , 1.6 , 374 , 107.15 , 6.68 
67400 , 13.14 , 1.59 , 364 , 108.17 , 7.36 
67500 , 13.14 , 1.59 , 356 , 106.65 , 6.97 
67600 , 13.15 , 1.6 , 362 , 107.51 , 7.13 
67700 , 13.13 , 1.59 , 356 , 107.93 , 6.49 
67800 , 13.15 , 1.59 , 350 , 106.77 , 6.79 
67900 , 13.15 , 1.57 , 348 , 104.35 , 7.16 
68000 , 13.14 , 1.57 , 352 , 104.97 , 6.81 
68100 , 13.16 , 1.57 , 360 , 106.3 , 6.95 
68200 , 13.12 , 1.57 , 358 , 104.02 , 7.05 
68300 , 13.16 , 1.59 , 350 , 107.43 , 7.19 
68400 , 13.14 , 1.59 , 348 , 105.88 , 6.89 
68500 , 13.17 , 1.56 , 354 , 104.42 , 6.64 
68600 , 13.14 , 1.59 , 348 , 105.6 , 6.81 
68700 , 13.16 , 1.59 , 358 , 104.69 , 6.72 
68800 , 13.15 , 1.61 , 352 , 107.88 , 6.91 
68900 , 13.16 , 1.58 , 358 , 105.86 , 7.1 
69000 , 13.13 , 1.58 , 346 , 103.78 , 7.46 
69100 , 13.12 , 1.6 , 352 , 105.83 , 7.06 
69200 , 13.15 , 1.58 , 366 , 104.99 , 6.97 
69300 , 13.15 , 1.55 , 354 , 104.78 , 6.85 
69400 , 13.14 , 1.58 , 352 , 104.2 , 6.76 
69500 , 13.1 , 1.59 , 358 , 104.14 , 6.67 
69600 , 13.13 , 1.58 , 356 , 104.3 , 6.89 
69700 , 13.14 , 1.59 , 356 , 104.2 , 8.15 
69800 , 13.13 , 1.59 , 356 , 104.1 , 7.43 
69900 , 13.14 , 1.59 , 354 , 103.27 , 7.22 
70000 , 13.14 , 1.59 , 354 , 104.33 , 6.88 
70100 , 13.08 , 1.59 , 352 , 103.6 , 6.93 
70200 , 13.13 , 1.58 , 368 , 103.93 , 7.08 
70300 , 13.11 , 1.59 , 354 , 105.11 , 7.09 
70400 , 13.1 , 1.58 , 370 , 105.16 , 6.86 
70500 , 13.11 , 1.58 , 354 , 104.76 , 6.88 
70600 , 13.12 , 1.57 , 362 , 105.28 , 6.53 
70700 , 13.11 , 1.59 , 360 , 104.49 , 7.08 
70800 , 13.1 , 1.57 , 368 , 104.53 , 6.76 
70900 , 13.09 , 1.57 , 360 , 104.73 , 6.97 
71000 , 13.11 , 1.57 , 368 , 105.78 , 6.96 
71100 , 13.1 , 1.56 , 354 , 106.08 , 7.45 
71200 , 13.09 , 1.57 , 348 , 106.29 , 7.54 
71300 , 13.13 , 1.56 , 358 , 105.23 , 6.95 
71400 , 13.1 , 1.57 , 364 , 104.98 , 6.76 
71500 , 13.12 , 1.58 , 362 , 105.54 , 6.44 
71600 , 13.09 , 1.59 , 356 , 105.18 , 6.87 
71700 , 13.12 , 1.57 , 362 , 106.21 , 7.6 
71800 , 13.12 , 1.57 , 356 , 105.88 , 7.59 
71900 , 13.1 , 1.56 , 350 , 106.99 , 7.36 
72000 , 13.1 , 1.57 , 346 , 107.62 , 7.14 
72100 , 13.1 , 1.58 , 360 , 105.94 , 8.14 
72200 , 13.12 , 1.57 , 360 , 106.49 , 7.5 
72300 , 13.07 , 1.58 , 350 , 107.77 , 7.61 
72400 , 13.14 , 1.56 , 354 , 107.29 , 6.53 
72500 , 13.11 , 1.56 , 360 , 106.44 , 6.7 
72600 , 13.12 , 1.54 , 354 , 106.98 , 6.52 
72700 , 13.12 , 1.56 , 356 , 106.7 , 6.41 
72800 , 13.1 , 1.55 , 358 , 108.5 , 6.72 
72900 , 13.09 , 1.56 , 362 , 107.12 , 6.98 
73000 , 13.1 , 1.56 , 358 , 108.19 , 6.97 
73100 , 13.1 , 1.58 , 356 , 107.39 , 7.38 
73200 , 13.12 , 1.57 , 360 , 107.27 , 6.75 
73300 , 13.11 , 1.55 , 362 , 107.14 , 6.72 
73400 , 13.12 , 1.59 , 356 , 107.44 , 7.24 
73500 , 13.08 , 1.58 , 350 , 108.57 , 7.43 
73600 , 13.11 , 1.56 , 354 , 107.81 , 7.18 
73700 , 13.1 , 1.56 , 350 , 107.42 , 7.51 
73800 , 13.12 , 1.57 , 362 , 107.14 , 7.34 
73900 , 13.12 , 1.56 , 356 , 107.86 , 7.58 
74000 , 13.1 , 1.57 , 356 , 108.04 , 6.92 
74100 , 13.08 , 1.56 , 358 , 107.12 , 7.2 
74200 , 13.11 , 1.58 , 360 , 107.31 , 6.61 
74300 , 13.1 , 1.59 , 360 , 107.48 , 7.88 
74400 , 13.11 , 1.57 , 354 , 107.53 , 6.7 
74500 , 13.1 , 1.56 , 364 , 108.08 , 6.69 
74600 , 13.09 , 1.57 , 358 , 108.24 , 6.92 
74700 , 13.13 , 1.56 , 358 , 107.52 , 7.04 
74800 , 13.1 , 1.55 , 374 , 107.78 , 7.23 
74900 , 13.1 , 1.56 , 362 , 106.7 , 7.24 
75000 , 13.1 , 1.57 , 350 , 107.78 , 6.85 
75100 , 13.11 , 1.57 , 356 , 107.88 , 6.41 
75200 , 13.09 , 1.57 , 352 , 106.9 , 7.25 
75300 , 13.11 , 1.55 , 364 , 106.95 , 6.7 
75400 , 13.13 , 1.57 , 356 , 108 , 6.48 
75500 , 13.09 , 1.54 , 344 , 107.2 , 6.31 
75600 , 13.1 , 1.54 , 350 , 108.19 , 7.08 
75700 , 13.11 , 1.55 , 352 , 108.8 , 6.9 
75800 , 13.14 , 1.55 , 348 , 108.02 , 6.78 
75900 , 13.13 , 1.56 , 350 , 108.02 , 6.7 
76000 , 13.15 , 1.54 , 358 , 107.61 , 6.45 
76100 , 13.12 , 1.54 , 352 , 107.87 , 6.62 
76200 , 13.09 , 1.55 , 356 , 106.51 , 7.04 
76300 , 13.1 , 1.54 , 366 , 108.66 , 7.07 
76400 , 13.11 , 1.56 , 342 , 107.88 , 7.21 
76500 , 13.11 , 1.55 , 346 , 108.32 , 7.05 
76600 , 13.11 , 1.54 , 356 , 107.85 , 6.47 
76700 , 13.12 , 1.55 , 358 , 107.48 , 6.49 
76800 , 13.11 , 1.54 , 356 , 108.57 , 7.21 
76900 , 13.11 , 1.56 , 350 , 108.47 , 7.01 
77000 , 13.13 , 1.56 , 350 , 107.98 , 6.53 
77100 , 13.14 , 1.56 , 358 , 108.19 , 6.67 
77200 , 13.13 , 1.54 , 364 , 106.98 , 6.9 
77300 , 13.14 , 1.56 , 352 , 107.87 , 6.69 
77400 , 13.13 , 1.54 , 352 , 107.51 , 7.26 
77500 , 13.14 , 1.54 , 358 , 107.13 , 6.76 
77600 , 13.11 , 1.55 , 352 , 107.73 , 6.45 
77700 , 13.13 , 1.54 , 352 , 107.26 , 7.13 
77800 , 13.13 , 1.55 , 360 , 107.75 , 6.85 
77900 , 13.14 , 1.55 , 358 , 108.23 , 7.5 
78000 , 13.14 , 1.54 , 346 , 106.64 , 7.15 
78100 , 13.14 , 1.53 , 354 , 109.11 , 6.84 
78200 , 13.12 , 1.54 , 352 , 107.95 , 6.68 
78300 , 13.15 , 1.55 , 356 , 107.47 , 7.18 
78400 , 13.13 , 1.54 , 352 , 108.15 , 6.66 
78500 , 13.16 , 1.57 , 352 , 108.28 , 6.89 
78600 , 13.13 , 1.57 , 350 , 106.28 , 7.03 
78700 , 13.12 , 1.54 , 348 , 108.17 , 6.55 
78800 , 13.15 , 1.54 , 346 , 108.01 , 6.5 
78900 , 13.14 , 1.56 , 358 , 107.2 , 7.29 
79000 , 13.15 , 1.55 , 360 , 106.92 , 7.46 
79100 , 13.16 , 1.55 , 354 , 108.38 , 7.03 
79200 , 13.14 , 1.55 , 352 , 108.68 , 7.24 
79300 , 13.15 , 1.56 , 348 , 107.1 , 6.97 
79400 , 13.16 , 1.56 , 350 , 107.59 , 6.67 
79500 , 13.14 , 1.56 , 368 , 107.45 , 7.14 
79600 , 13.13 , 1.55 , 346 , 108.54 , 6.88 
79700 , 13.19 , 1.56 , 352 , 108.34 , 6.8 
79800 , 13.14 , 1.54 , 360 , 108.06 , 6.8 
79900 , 13.14 , 1.54 , 350 , 107.82 , 6.43 
80000 , 13.13 , 1.56 , 348 , 107.15 , 6.44 
80100 , 13.15 , 1.56 , 354 , 107.07 , 7.43 
80200 , 13.16 , 1.56 , 348 , 108.8 , 6.75 
80300 , 13.13 , 1.55 , 346 , 107.39 , 7.08 
80400 , 13.12 , 1.55 , 358 , 106.65 , 7.11 
80500 , 13.13 , 1.56 , 352 , 107.99 , 6.78 
80600 , 13.14 , 1.55 , 358 , 107.5 , 6.73 
80700 , 13.15 , 1.55 , 356 , 107.52 , 7.58 
80800 , 13.13 , 1.53 , 358 , 107.01 , 6.74 
80900 , 13.11 , 1.56 , 346 , 107.83 , 7.02 
81000 , 13.13 , 1.55 , 352 , 107.6 , 7.02 
81100 , 13.13 , 1.55 , 354 , 107 , 7.54 
81200 , 13.13 , 1.55 , 348 , 108.27 , 6.77 
81300 , 13.14 , 1.56 , 354 , 107.89 , 7.26 
81400 , 13.12 , 1.56 , 348 , 108.24 , 6.76 
81500 , 13.14 , 1.55 , 348 , 108.46 , 7.45 
81600 , 13.13 , 1.55 , 348 , 108.01 , 7.61 
81700 , 13.14 , 1.56 , 358 , 108.07 , 7.51 
81800 , 13.16 , 1.54 , 352 , 108.15 , 6.97 
81900 , 13.12 , 1.54 , 354 , 108.41 , 7.36 
82000 , 13.15 , 1.53 , 352 , 108.43 , 7.22 
82100 , 13.15 , 1.54 , 348 , 107.54 , 7.37 
82200 , 13.14 , 1.54 , 340 , 107.35 , 6.92 
82300 , 13.14 , 1.54 , 352 , 107.81 , 6.77 
82400 , 13.16 , 1.55 , 346 , 108.21 , 7.51 
82500 , 13.17 , 1.53 , 344 , 108.03 , 7.12 
82600 , 13.15 , 1.53 , 352 , 107.96 , 7.51 
82700 , 13.16 , 1.56 , 356 , 107.62 , 6.76 
82800 , 13.18 , 1.55 , 346 , 108.1 , 6.99 
82900 , 13.11 , 1.55 , 352 , 107.87 , 7.13 
83000 , 13.12 , 1.56 , 344 , 108.21 , 6.91 
83100 , 13.09 , 1.56 , 350 , 108.38 , 8.11 
83200 , 13.11 , 1.54 , 362 , 108.02 , 7.08 
